Device_Type,Environment_Type,Weather_Condition,Distance,Transmission_Power,Frequency_Channel,Packet_Size,Battery_Level,RSSI,SNR,Delivery_Success,Energy_Cost,Bandwidth,Spreading_Factor,Coding_Rate,Data_Rate,Channel_Occupancy,Interference_Power,Interference_Duration,Interference_Density,Packet_Collision_Rate,Retransmission_Count,Packet_Loss_Rate,Latency,Jitter,Propagation_Delay,Gateway_Distance,Gateway_Signal_Quality,Gateway_Load,Battery_Voltage,Device_Temperature,Ambient_Temperature,Ambient_Humidity,Atmospheric_Pressure,Wind_Speed,Rainfall,Terrain_Obstruction,Node_Density,Network_Congestion,Channel_Switch_Count,Connection_Attempt_Count,Acknowledgment_Rate
Industrial_Node,Rural,Cloudy,12.848,10.68,470,200,29.43,-59.43,12.76,Success,2.947,125.0,7,4/7,51.429,20.58,-86.16,285.45,0.456,18.31,1,6.19,113.26,27.49,0.0429,13.539,82.82,93.33,3.188,24.71,41.29,80.36,1018.94,11.5,4.0,0.647,257.4,28.19,1,1,100.0
Environmental_Node,Suburban,Cloudy,0.886,24.99,915,153,74.73,-35.0,18.43,Success,3.408,125.0,7,4/8,54.267,74.27,-72.35,185.35,0.814,30.38,1,13.06,70.16,8.64,0.003,2.562,100.0,40.1,3.824,60.9,14.55,50.05,992.58,14.46,1.17,0.092,215.82,43.09,8,7,92.53
Environmental_Node,Industrial,Cloudy,2.005,29.56,470,172,83.53,-35.0,20.0,Success,3.823,15.6,7,4/7,6.272,19.24,-78.83,282.53,0.695,23.23,0,7.7,65.68,21.41,0.0067,2.267,98.36,92.36,4.01,18.39,23.18,66.64,1033.24,15.7,0.28,0.444,380.95,36.26,9,7,100.0
Sensor_Node,Urban,Clear,20.227,19.46,433,150,45.15,-67.94,10.23,Failure,3.51,15.6,10,4/7,36.322,40.32,-97.98,293.38,0.703,17.32,2,2.6,119.51,5.33,0.0676,21.622,75.4,27.13,3.374,68.86,22.13,50.97,1003.45,0.72,0.74,0.632,288.09,47.33,9,7,100.0
Industrial_Node,Rural,Windy,17.9,13.17,433,32,20.21,-68.26,15.05,Failure,1.421,15.6,10,4/5,33.53,56.03,-87.25,456.23,0.52,21.75,1,5.48,82.27,1.0,0.0598,19.294,69.7,90.37,3.063,45.76,14.94,52.91,1003.3,4.02,4.15,0.589,352.18,51.27,4,6,100.0
Tracking_Device,Suburban,Clear,17.478,29.54,915,134,42.63,-48.58,20.0,Success,3.493,31.25,12,4/5,50.107,9.21,-81.28,112.87,0.742,9.39,1,5.06,111.95,19.83,0.0584,17.658,87.79,45.27,3.342,61.59,13.05,37.3,1016.49,5.27,1.54,0.65,485.22,25.73,8,1,100.0
Smart_Meter,Rural,Rain,3.755,15.8,915,72,15.55,-35.0,20.0,Failure,2.351,7.8,10,4/8,30.536,68.15,-80.27,342.95,0.641,22.04,1,14.02,55.05,25.63,0.0125,4.889,93.63,31.74,3.044,61.24,25.98,42.67,1020.05,16.08,1.5,0.689,394.54,78.83,8,7,87.63
Tracking_Device,Urban,Clear,10.886,18.18,923,86,69.34,-45.11,20.0,Success,2.491,7.8,12,4/8,5.986,11.6,-95.53,286.4,0.304,11.49,2,1.45,93.05,27.37,0.0364,11.82,88.5,93.59,3.721,64.09,24.73,60.19,1033.92,18.15,0.31,0.663,172.36,20.73,5,2,100.0
Industrial_Node,Urban,Windy,24.465,11.55,923,50,72.75,-73.34,13.43,Failure,1.855,125.0,12,4/7,58.361,7.93,-90.02,152.28,0.967,24.85,2,18.56,131.86,13.38,0.0817,26.038,71.89,58.89,3.791,55.71,10.86,46.12,1004.18,13.15,1.54,0.657,52.18,20.33,1,7,87.31
Sensor_Node,Urban,Heavy_Rain,5.66,12.22,915,146,34.15,-35.0,20.0,Success,2.68,7.8,12,4/8,33.076,44.32,-83.02,277.33,0.619,10.93,0,7.83,78.17,25.1,0.0189,7.376,100.0,40.96,3.281,38.25,15.67,62.86,1001.92,6.89,1.71,0.681,200.14,35.68,8,5,100.0
Smart_Meter,Urban,Clear,26.539,14.33,923,86,68.64,-87.33,11.31,Failure,2.35,7.8,10,4/8,38.341,47.18,-92.22,116.89,0.924,25.92,3,11.09,125.3,1.94,0.0886,27.977,51.77,26.65,3.724,38.79,25.25,94.62,1028.41,1.66,0.0,0.759,217.79,44.09,5,6,91.24
Tracking_Device,Suburban,Rain,4.084,20.97,915,100,15.27,-35.0,20.0,Success,2.799,15.6,11,4/5,3.593,34.09,-92.75,233.02,0.962,29.94,1,15.6,67.9,6.3,0.0136,5.597,87.82,48.24,3.03,44.41,16.31,55.06,992.5,17.04,3.45,0.177,39.18,30.2,5,7,95.73
Smart_Meter,Suburban,Heavy_Rain,5.49,21.16,868,202,12.84,-35.0,20.0,Success,3.424,15.6,12,4/8,48.164,41.34,-84.72,414.73,0.34,15.74,0,8.72,80.74,10.97,0.0183,6.559,100.0,93.69,2.976,63.0,24.42,32.16,1023.93,9.68,2.96,0.231,304.59,45.04,2,6,100.0
Tracking_Device,Urban,Rain,14.594,22.12,923,250,46.72,-53.61,13.51,Failure,3.993,7.8,10,4/8,54.282,12.47,-73.37,58.45,0.894,28.66,1,17.02,109.27,9.33,0.0487,16.259,92.74,33.49,3.457,15.79,39.29,26.34,1025.18,15.34,0.94,0.595,428.47,34.41,0,3,98.74
Tracking_Device,Urban,Rain,28.386,21.68,915,213,53.6,-81.98,12.34,Failure,3.76,250.0,11,4/6,17.746,60.92,-80.69,19.39,0.449,14.39,0,6.05,116.84,0.74,0.0948,28.719,74.01,39.0,3.552,54.83,23.22,57.89,992.97,10.77,2.05,0.255,157.19,45.18,5,7,95.01
Smart_Meter,Urban,Rain,10.222,19.9,868,152,11.67,-35.82,20.0,Failure,2.96,7.8,9,4/8,17.602,72.26,-89.05,23.48,0.895,32.81,0,14.62,110.07,4.45,0.0341,10.82,100.0,24.68,2.917,66.18,20.37,25.27,1019.24,3.19,4.49,0.839,291.26,54.63,9,2,92.03
Sensor_Node,Suburban,Clear,19.917,26.04,923,156,63.09,-58.12,18.3,Success,3.424,125.0,12,4/8,12.624,23.91,-80.43,230.14,0.639,23.33,2,3.65,116.69,24.57,0.0665,20.277,89.02,55.14,3.666,22.82,30.59,90.89,1038.74,19.58,1.7,0.032,205.08,34.88,3,4,96.41
Environmental_Node,Industrial,Rain,17.866,28.68,433,48,84.95,-48.81,16.56,Success,2.419,31.25,7,4/7,32.941,21.15,-87.38,391.66,0.277,5.42,1,1.49,96.77,7.46,0.0597,19.827,98.43,69.45,3.982,49.51,41.57,84.08,1026.6,12.13,3.57,0.133,345.62,29.25,7,6,100.0
Smart_Meter,Rural,Cloudy,4.914,15.4,915,182,46.95,-42.53,20.0,Success,3.123,15.6,8,4/6,1.774,8.24,-77.52,33.39,0.892,26.08,1,7.29,81.98,12.89,0.0164,5.981,97.61,70.17,3.504,37.43,42.85,44.45,1015.55,11.1,10.0,0.597,129.66,13.25,0,2,100.0
Environmental_Node,Industrial,Cloudy,7.821,12.6,433,123,77.23,-39.27,14.73,Success,2.352,15.6,7,4/8,8.118,47.29,-89.73,53.74,0.79,24.3,0,12.5,72.96,28.1,0.0261,8.553,92.49,24.22,3.905,61.7,32.01,47.09,1031.75,3.51,6.61,0.693,123.6,33.17,7,6,99.31
Smart_Meter,Rural,Windy,27.94,18.5,923,247,23.6,-83.43,12.89,Failure,3.909,250.0,12,4/6,36.907,67.19,-87.87,87.04,0.292,11.96,2,5.84,144.58,2.21,0.0933,28.1,65.7,65.58,3.164,41.26,18.99,69.08,1022.66,9.93,5.81,0.753,383.65,69.0,2,2,94.92
Industrial_Node,Industrial,Clear,5.952,10.53,868,182,57.66,-47.48,11.91,Failure,2.73,125.0,11,4/7,29.364,69.55,-81.95,220.22,0.272,12.97,2,4.79,89.98,20.56,0.0199,7.237,86.72,82.9,3.602,29.72,15.76,20.55,1003.56,19.76,4.49,0.454,246.38,54.28,9,3,93.44
Environmental_Node,Urban,Clear,21.003,27.67,915,69,81.02,-59.59,12.54,Failure,3.15,15.6,10,4/6,44.813,7.96,-75.86,433.61,0.853,25.03,2,9.11,104.36,5.28,0.0702,21.673,68.63,33.0,3.882,16.13,37.46,49.79,999.02,5.85,6.18,0.283,39.5,5.34,4,5,100.0
Smart_Meter,Rural,Clear,28.958,14.79,868,49,71.38,-80.61,9.8,Failure,2.026,31.25,11,4/6,44.676,92.21,-74.66,153.43,0.55,26.61,3,11.41,127.96,3.94,0.0967,30.425,66.18,34.67,3.751,19.89,22.5,82.41,1017.08,3.69,8.27,0.901,209.92,51.08,4,5,90.52
Smart_Meter,Industrial,Clear,4.025,20.99,433,34,80.17,-35.0,18.13,Success,2.348,125.0,12,4/8,26.351,93.58,-76.25,275.56,0.346,15.7,1,1.81,78.31,14.53,0.0134,4.816,98.9,55.01,3.956,26.65,40.27,40.44,1005.5,16.49,2.37,0.534,363.89,68.89,2,3,100.0
Smart_Meter,Urban,Clear,12.276,12.3,915,48,74.9,-51.86,19.92,Success,1.803,62.5,12,4/7,40.691,79.42,-63.17,36.18,0.338,10.47,0,0.0,80.64,27.27,0.041,12.412,98.11,42.58,3.808,25.69,10.04,61.97,1000.0,7.89,3.34,0.055,214.9,51.66,7,2,95.73
Smart_Meter,Urban,Foggy,7.106,21.07,433,172,20.89,-36.59,18.89,Success,3.427,15.6,8,4/8,51.668,66.87,-79.1,110.24,0.724,29.02,3,11.64,118.6,15.1,0.0237,8.269,88.37,16.34,3.079,51.59,40.93,54.55,1015.13,4.62,2.75,0.05,214.56,54.24,4,3,96.68
Industrial_Node,Industrial,Clear,7.036,10.78,433,94,19.24,-49.22,14.0,Failure,2.25,7.8,12,4/5,36.025,38.11,-78.77,39.88,0.81,22.85,1,11.95,86.85,14.71,0.0235,7.28,91.19,10.57,3.024,56.89,36.74,26.87,1011.26,4.09,3.53,0.745,255.72,38.77,4,2,87.84
Environmental_Node,Industrial,Rain,4.01,25.38,868,248,97.8,-35.0,19.51,Success,3.979,7.8,7,4/6,58.121,40.14,-83.14,65.76,0.61,16.33,1,6.3,98.76,5.99,0.0134,4.271,97.07,22.29,4.161,65.16,17.9,83.43,1013.13,0.54,0.8,0.617,251.18,40.4,7,7,100.0
Smart_Meter,Rural,Clear,19.662,29.11,923,76,53.41,-54.96,16.13,Failure,2.78,250.0,7,4/6,59.623,86.68,-88.95,141.45,0.331,18.76,3,4.21,107.93,29.75,0.0657,20.012,98.33,41.43,3.542,65.88,18.49,71.73,1014.86,12.87,14.58,0.615,198.44,62.74,8,3,100.0
Industrial_Node,Suburban,Rain,22.517,16.14,433,131,75.92,-71.21,14.32,Failure,2.432,125.0,12,4/6,31.036,29.82,-82.32,49.82,0.44,15.58,0,5.14,97.8,17.93,0.0752,23.74,70.07,30.3,3.916,61.3,41.5,39.4,1013.21,9.87,5.11,0.664,153.23,13.24,5,3,100.0
Industrial_Node,Urban,Foggy,20.465,15.16,433,70,71.34,-68.49,12.59,Failure,2.347,7.8,12,4/6,15.995,83.79,-82.08,146.0,0.364,16.3,0,7.85,94.68,27.81,0.0684,22.167,76.45,80.08,3.836,70.0,34.01,92.47,1006.51,9.08,3.66,0.575,355.39,81.16,6,7,91.07
Smart_Meter,Urban,Clear,27.777,18.96,470,87,13.99,-74.8,15.89,Success,2.402,62.5,12,4/6,47.389,18.54,-83.69,58.22,0.614,14.45,0,8.01,107.62,12.05,0.0928,29.081,79.18,56.79,2.969,44.69,30.57,44.13,1016.98,13.22,8.08,0.414,340.38,41.91,4,3,97.95
Smart_Meter,Urban,Windy,4.798,22.4,868,143,54.7,-35.0,20.0,Success,3.249,62.5,9,4/5,10.858,34.3,-84.13,289.81,0.94,25.22,1,14.33,101.8,14.7,0.016,6.75,100.0,35.78,3.572,44.92,36.59,56.99,1009.84,1.01,2.14,0.67,87.31,40.3,0,6,100.0
Tracking_Device,Industrial,Foggy,9.935,13.78,433,77,56.92,-40.66,18.95,Success,2.188,250.0,11,4/7,46.548,43.1,-69.27,4.4,0.634,21.2,0,4.87,71.86,18.76,0.0332,11.653,100.0,38.41,3.585,52.12,10.32,49.26,1024.22,12.6,4.07,0.861,373.8,57.17,2,7,100.0
Environmental_Node,Industrial,Rain,10.665,26.07,470,159,82.77,-35.0,20.0,Success,3.395,62.5,9,4/5,26.899,60.72,-92.04,352.58,0.921,26.53,0,10.1,103.91,16.68,0.0356,12.413,100.0,29.2,3.91,25.26,39.19,59.48,1008.63,1.99,1.41,0.536,176.26,39.79,1,4,100.0
Industrial_Node,Rural,Clear,7.346,13.97,868,243,96.6,-41.88,20.0,Success,3.327,62.5,10,4/6,46.833,71.98,-87.42,131.6,0.973,29.1,1,14.25,99.81,14.02,0.0245,7.656,87.2,93.72,4.117,21.75,14.81,45.67,1003.28,8.09,3.01,0.024,237.36,77.38,0,1,96.16
Industrial_Node,Urban,Rain,4.695,10.11,915,88,36.05,-39.87,20.0,Success,2.122,125.0,9,4/5,18.23,17.41,-88.48,301.95,0.653,14.52,1,5.57,67.82,20.36,0.0157,6.261,100.0,38.81,3.284,58.8,12.5,72.5,1001.55,18.4,2.44,0.156,262.87,31.72,4,3,99.46
Sensor_Node,Industrial,Windy,14.858,20.49,923,125,15.3,-51.57,11.96,Failure,2.864,31.25,7,4/6,27.549,41.01,-72.5,238.57,0.482,18.59,1,7.05,103.8,26.59,0.0496,15.113,77.9,36.02,3.027,31.94,23.81,65.89,1027.96,12.93,8.29,0.563,341.92,50.41,8,6,100.0
Industrial_Node,Suburban,Clear,25.116,12.3,868,248,52.78,-78.95,11.84,Failure,3.272,250.0,7,4/6,50.246,38.46,-71.32,66.98,0.965,25.09,0,16.28,148.3,11.53,0.0839,26.15,71.54,14.81,3.506,56.73,41.4,78.78,1021.79,18.82,11.2,0.063,41.21,21.07,3,1,97.99
Industrial_Node,Suburban,Cloudy,28.659,23.96,433,184,12.69,-73.39,17.85,Failure,3.485,125.0,7,4/7,20.705,32.12,-83.39,494.41,0.784,24.13,0,13.39,114.0,27.17,0.0957,30.433,82.04,45.88,2.919,39.65,21.35,60.29,1028.73,0.94,4.6,0.581,494.44,60.28,4,4,92.47
Industrial_Node,Suburban,Clear,4.316,13.35,470,172,44.69,-35.0,19.82,Success,2.597,15.6,12,4/8,24.718,45.61,-88.38,257.54,0.954,27.61,2,13.86,103.52,23.78,0.0144,4.848,100.0,39.22,3.394,33.34,33.49,76.26,1011.56,18.53,1.15,0.973,253.77,45.94,0,3,97.41
Smart_Meter,Rural,Clear,24.783,26.35,470,87,34.59,-67.91,14.75,Failure,3.181,7.8,10,4/8,34.727,70.77,-83.53,349.34,0.6,18.43,1,0.06,104.16,13.95,0.0828,25.029,78.15,56.64,3.301,44.73,25.25,61.57,1023.02,7.12,1.24,0.331,187.29,46.41,6,3,100.0
Sensor_Node,Suburban,Windy,24.825,19.41,915,171,31.87,-70.72,9.6,Failure,3.34,62.5,12,4/5,38.693,55.19,-67.34,444.51,0.826,32.61,2,11.51,136.68,11.75,0.0829,26.304,70.52,16.13,3.204,24.49,11.7,28.58,1021.72,6.87,4.93,0.437,192.27,44.92,9,3,95.0
Sensor_Node,Urban,Cloudy,11.975,21.33,470,55,10.14,-41.88,20.0,Success,2.537,15.6,11,4/7,11.732,50.41,-98.68,108.82,0.166,8.69,2,0.0,86.34,21.83,0.04,13.252,94.15,18.98,3.028,40.11,33.93,94.03,1022.86,2.86,2.87,0.226,315.85,52.01,6,7,100.0
Tracking_Device,Urban,Clear,3.746,13.73,433,149,32.56,-36.33,18.07,Success,2.821,250.0,7,4/8,36.903,51.61,-81.62,157.0,0.276,6.32,1,0.0,82.64,14.5,0.0125,5.651,92.46,41.88,3.18,52.47,11.71,23.24,1003.4,18.66,2.26,0.554,51.03,29.54,5,1,100.0
Smart_Meter,Urban,Rain,29.705,12.93,868,54,38.79,-89.71,13.42,Failure,2.191,15.6,12,4/8,29.157,69.05,-84.25,27.33,0.914,36.26,0,17.45,122.94,26.51,0.0992,31.509,63.47,53.28,3.253,67.5,36.58,39.9,1012.98,8.15,2.62,0.351,53.28,53.07,2,4,85.93
Industrial_Node,Rural,Clear,19.84,22.63,915,144,91.99,-64.41,13.05,Failure,3.192,31.25,8,4/8,47.545,54.98,-88.92,140.02,0.287,16.18,0,8.2,102.11,26.17,0.0663,20.517,76.89,60.68,4.05,43.98,21.72,77.32,1009.22,16.61,0.57,0.987,440.49,69.26,2,5,94.22
Sensor_Node,Suburban,Clear,29.475,15.11,923,119,17.94,-88.74,5.27,Failure,2.446,125.0,11,4/7,39.314,68.85,-77.91,356.74,0.357,12.5,2,7.04,134.17,6.05,0.0984,31.162,64.19,61.67,3.056,32.37,37.02,62.24,979.09,14.09,1.96,0.19,235.21,52.39,3,3,90.6
Sensor_Node,Urban,Cloudy,14.768,17.72,923,27,79.03,-46.97,19.58,Success,1.864,7.8,9,4/8,30.214,50.24,-82.98,406.84,0.7,21.88,2,12.78,80.51,28.3,0.0493,15.789,88.85,42.2,3.89,66.82,29.77,83.55,1018.31,14.96,1.21,0.696,278.61,44.88,9,6,90.42
Environmental_Node,Rural,Cloudy,12.158,19.59,433,220,75.24,-42.21,18.09,Success,3.785,62.5,11,4/8,51.645,67.31,-90.31,76.41,0.415,19.16,1,7.05,116.56,12.6,0.0406,13.624,93.75,63.89,3.794,33.28,29.15,41.29,1023.79,8.99,0.04,0.099,393.52,70.13,3,7,100.0
Industrial_Node,Rural,Clear,7.792,14.59,915,47,39.36,-37.31,16.27,Failure,1.741,62.5,10,4/5,36.214,81.36,-66.3,275.43,0.911,31.36,1,15.71,68.76,19.46,0.026,7.959,83.82,68.44,3.416,59.69,35.11,39.64,1017.79,12.09,2.9,0.144,297.6,79.98,4,3,82.76
Industrial_Node,Suburban,Clear,29.515,25.91,915,207,91.63,-73.81,15.73,Success,4.078,31.25,10,4/8,28.392,12.08,-91.35,33.21,0.21,10.07,1,0.0,124.58,19.27,0.0986,30.622,80.56,92.34,4.122,40.68,26.07,25.8,998.65,5.69,6.73,0.401,343.09,50.34,6,7,100.0
Sensor_Node,Rural,Cloudy,7.971,28.79,433,201,68.98,-42.48,18.73,Success,3.927,31.25,11,4/7,12.114,72.74,-81.61,351.04,0.586,20.94,0,6.68,64.72,12.31,0.0266,8.714,88.33,59.0,3.751,60.4,11.78,30.04,1021.02,13.08,1.87,0.713,207.96,47.15,4,1,100.0
Environmental_Node,Suburban,Windy,1.201,18.64,915,145,18.73,-35.0,20.0,Success,3.156,62.5,12,4/8,12.762,78.27,-81.28,19.12,0.41,14.88,2,3.1,72.51,11.27,0.004,2.733,90.21,46.14,3.009,68.03,38.68,59.38,996.86,11.06,6.71,0.971,35.79,34.59,3,1,100.0
Sensor_Node,Urban,Windy,15.618,28.35,470,123,28.36,-45.66,17.28,Failure,3.361,250.0,9,4/8,9.335,72.27,-77.13,413.05,0.496,18.71,1,8.08,90.88,24.65,0.0522,15.912,95.44,12.97,3.157,63.63,44.2,46.77,993.68,16.99,0.24,0.325,46.25,41.58,6,2,100.0
Sensor_Node,Urban,Clear,11.623,27.65,470,63,46.1,-43.11,18.38,Success,2.725,62.5,7,4/8,49.415,25.75,-84.78,131.25,0.713,15.63,1,6.78,60.45,5.32,0.0388,13.174,95.4,93.9,3.48,21.56,26.88,68.36,1028.54,9.58,0.73,0.418,274.01,39.56,6,7,100.0
Industrial_Node,Industrial,Rain,8.211,13.32,433,29,97.06,-50.18,19.47,Success,2.028,62.5,7,4/7,2.631,15.53,-88.17,439.6,0.494,12.59,0,7.72,76.15,12.36,0.0274,9.731,91.57,87.89,4.184,16.57,34.21,39.69,1015.58,11.71,2.55,0.854,404.24,40.77,7,4,100.0
Smart_Meter,Industrial,Windy,19.221,13.47,433,24,33.8,-66.72,16.44,Failure,1.734,31.25,12,4/7,58.131,87.46,-71.95,152.7,0.779,26.67,1,9.83,110.37,1.0,0.0642,20.142,79.13,90.26,3.246,15.15,22.01,96.56,1016.52,15.39,1.93,0.47,473.6,78.41,0,4,91.09
Sensor_Node,Urban,Cloudy,11.246,19.55,470,120,48.54,-40.8,16.77,Success,2.625,15.6,12,4/7,35.647,35.71,-88.55,131.64,0.126,7.62,0,1.3,94.8,5.69,0.0376,12.373,83.99,42.89,3.459,34.87,10.82,90.99,1013.51,11.43,2.51,0.954,183.59,28.42,4,4,100.0
Industrial_Node,Rural,Foggy,12.366,20.52,868,139,60.46,-41.06,19.55,Success,2.861,15.6,9,4/8,7.221,21.47,-99.81,120.91,0.289,15.84,1,4.11,93.84,10.98,0.0413,13.314,100.0,34.93,3.647,28.76,18.26,53.51,1019.18,2.21,0.5,0.838,370.45,47.45,8,1,100.0
Industrial_Node,Rural,Foggy,1.18,16.82,433,194,42.0,-35.0,20.0,Success,3.315,125.0,12,4/7,48.803,65.86,-83.59,197.54,0.874,23.19,4,7.51,103.53,12.02,0.0039,1.911,100.0,50.57,3.483,60.22,42.99,87.21,1000.35,18.42,2.37,0.778,329.61,39.61,1,4,100.0
Environmental_Node,Rural,Clear,17.878,16.26,470,178,73.09,-58.8,20.0,Success,2.949,7.8,12,4/6,52.601,83.12,-71.23,301.76,0.25,19.24,0,5.44,104.1,1.88,0.0597,19.689,86.35,26.05,3.797,32.17,29.39,31.54,1023.08,17.21,0.39,0.25,168.92,63.58,8,2,100.0
Smart_Meter,Urban,Clear,4.101,18.63,868,48,69.48,-36.5,20.0,Success,2.164,15.6,9,4/6,22.398,93.71,-78.98,173.07,0.028,9.95,3,4.18,78.74,10.9,0.0137,5.748,94.46,60.42,3.748,42.77,34.81,73.8,1023.07,14.35,4.01,0.708,455.09,83.21,7,4,98.58
Sensor_Node,Industrial,Clear,6.807,23.81,868,150,15.44,-35.0,20.0,Success,3.313,62.5,7,4/7,22.11,53.86,-89.59,36.59,0.453,6.12,3,2.67,79.49,14.36,0.0227,7.482,100.0,25.49,2.98,16.97,37.72,86.52,1008.44,5.55,3.94,0.242,472.39,58.43,1,4,100.0
Smart_Meter,Industrial,Clear,21.655,11.69,470,173,48.59,-75.53,13.69,Failure,2.762,250.0,11,4/5,50.872,84.12,-77.66,236.73,0.338,20.19,3,4.37,132.46,10.29,0.0723,22.029,76.19,57.64,3.498,24.87,41.22,39.65,1023.21,6.69,0.34,0.15,383.67,82.15,1,6,92.4
Tracking_Device,Urban,Foggy,9.741,24.21,470,114,80.3,-35.0,18.7,Success,3.376,31.25,9,4/6,29.372,48.55,-83.5,157.63,0.37,12.75,1,8.79,87.49,28.97,0.0325,11.707,100.0,69.71,3.939,23.15,38.6,75.07,1018.69,11.48,10.6,0.472,154.77,38.85,1,3,98.42
Industrial_Node,Industrial,Foggy,5.315,28.52,915,21,67.59,-35.0,20.0,Success,2.72,62.5,10,4/7,30.973,53.71,-82.16,256.79,0.356,19.33,0,6.17,74.99,9.63,0.0178,6.018,98.78,65.8,3.733,62.03,29.91,68.34,989.68,1.93,1.09,0.642,191.9,40.18,2,4,100.0
Environmental_Node,Urban,Clear,17.534,25.27,868,98,51.42,-44.49,14.61,Failure,2.791,62.5,10,4/5,53.517,56.06,-90.82,165.49,0.248,8.26,2,6.15,94.18,26.39,0.0586,19.52,92.87,85.55,3.532,55.55,20.03,34.07,1005.47,7.71,14.73,0.957,210.68,35.19,5,2,95.43
Sensor_Node,Urban,Rain,6.84,13.83,923,224,75.69,-39.14,17.51,Success,3.423,62.5,10,4/8,8.187,83.67,-77.73,187.78,0.78,24.66,1,14.16,102.76,11.73,0.0228,8.069,94.7,40.52,3.828,35.15,10.34,87.74,1005.99,16.16,0.12,0.223,167.14,45.2,3,2,91.46
Industrial_Node,Rural,Rain,8.494,11.75,915,111,70.34,-41.9,20.0,Success,2.559,7.8,7,4/5,53.152,26.67,-79.41,252.58,0.05,6.52,2,0.42,82.11,5.96,0.0284,9.426,90.89,56.28,3.8,22.77,32.83,96.7,1018.7,11.03,4.36,0.56,130.75,16.2,2,7,100.0
Sensor_Node,Urban,Cloudy,18.83,19.81,915,75,85.38,-56.55,20.0,Success,2.353,250.0,11,4/7,55.636,72.22,-89.56,77.43,0.506,11.71,2,4.87,100.62,17.4,0.0629,19.944,90.03,62.73,4.005,33.42,16.33,66.44,1019.64,2.38,2.63,0.317,363.34,70.56,7,6,95.15
Industrial_Node,Suburban,Rain,22.326,29.13,868,161,14.59,-62.44,19.26,Success,3.442,7.8,9,4/8,1.304,35.44,-72.54,86.7,0.517,12.93,1,12.18,127.65,8.99,0.0746,23.297,84.02,16.61,2.964,29.54,32.92,83.94,1007.04,16.89,3.44,0.811,122.45,21.14,5,3,97.36
Tracking_Device,Industrial,Foggy,22.32,26.38,868,95,58.18,-56.61,12.68,Failure,3.148,31.25,12,4/5,41.093,13.8,-80.67,78.49,0.05,0.0,3,0.28,108.86,19.42,0.0745,23.811,79.49,36.71,3.657,35.72,38.72,43.57,1017.84,9.05,1.85,0.575,66.44,29.36,0,7,100.0
Tracking_Device,Suburban,Clear,14.726,21.25,868,34,69.43,-38.02,17.38,Success,2.191,7.8,7,4/8,17.302,92.86,-70.94,167.54,0.007,3.7,3,0.0,110.27,29.38,0.0492,15.91,90.91,68.1,3.791,34.96,17.02,48.1,1015.23,18.61,1.78,0.369,438.17,95.21,0,3,97.92
Industrial_Node,Urban,Clear,13.902,12.86,433,104,70.79,-55.82,13.33,Failure,2.233,62.5,7,4/7,34.094,88.31,-91.24,99.34,0.516,26.49,0,7.75,79.12,27.53,0.0464,15.402,84.12,84.15,3.889,40.43,19.58,82.02,984.55,19.6,0.57,0.94,498.8,87.8,3,4,91.45
Industrial_Node,Industrial,Clear,23.736,24.28,470,143,93.02,-70.84,13.81,Success,3.385,7.8,7,4/5,39.114,50.64,-72.61,313.56,0.811,20.44,1,14.09,119.33,0.83,0.0793,24.133,82.81,14.3,4.148,19.72,43.93,97.24,1027.8,19.75,0.31,0.331,376.23,50.18,9,2,90.0
Tracking_Device,Urban,Cloudy,6.195,26.26,470,137,47.05,-40.08,20.0,Success,3.316,31.25,12,4/6,35.225,18.85,-81.59,7.67,0.184,3.14,3,0.0,99.07,22.02,0.0207,7.149,100.0,92.0,3.41,45.18,17.76,55.12,1022.44,11.63,0.07,0.155,266.63,33.06,1,1,100.0
Industrial_Node,Suburban,Clear,4.99,28.7,470,240,81.56,-35.0,20.0,Success,4.377,7.8,11,4/7,40.903,82.74,-80.26,110.58,0.036,0.0,1,0.0,99.17,3.49,0.0167,5.1,93.97,23.7,3.969,46.24,19.19,49.79,1000.46,7.69,9.24,0.078,243.54,39.54,5,1,100.0
Sensor_Node,Industrial,Cloudy,20.109,22.24,868,64,80.74,-55.25,15.24,Success,2.876,15.6,7,4/5,33.697,41.2,-67.59,401.41,0.338,9.17,1,6.93,100.29,12.89,0.0672,21.717,76.09,54.79,3.917,40.92,20.39,38.88,991.09,14.82,1.26,0.795,221.41,27.62,3,3,100.0
Industrial_Node,Urban,Cloudy,12.58,20.29,915,246,34.2,-45.23,16.79,Success,4.157,31.25,10,4/7,44.64,51.17,-80.36,335.7,0.397,1.68,1,0.0,108.32,10.28,0.042,13.913,87.53,22.99,3.314,68.08,28.76,71.14,1014.51,2.67,15.12,0.026,159.3,37.16,7,3,100.0
Sensor_Node,Suburban,Heavy_Rain,21.445,22.38,868,66,34.15,-58.98,20.0,Success,2.775,62.5,10,4/7,32.445,94.05,-83.03,471.05,0.376,18.1,3,0.0,124.8,21.36,0.0716,21.877,89.4,82.79,3.366,20.64,25.92,63.9,1018.77,15.51,6.48,0.447,264.71,66.3,1,5,100.0
Industrial_Node,Industrial,Cloudy,8.07,28.87,868,39,94.86,-36.08,18.39,Success,2.969,15.6,9,4/6,12.58,46.93,-80.19,118.03,0.955,30.73,2,15.97,96.22,16.54,0.027,9.635,96.77,30.56,4.21,65.72,30.37,80.51,1028.32,5.84,6.16,0.835,75.24,32.18,3,3,95.19
